run,output_dir,saved_index,step,fit_kmin,fit_kmax,fit_points,slope,r_squared
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,23,23000,9,35,27,-2.5472105667193987,0.9541673371516369
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,24,24000,9,35,27,-2.6063358916240245,0.9536301870737405
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,25,25000,9,35,27,-2.664563410500073,0.9531154542601094
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,26,26000,9,35,27,-2.7219703079810116,0.9526711316959618
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,27,27000,9,35,27,-2.7788284348266616,0.9523048775571793
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,28,28000,9,35,27,-2.8355841316217574,0.9520028336161713
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,29,29000,9,35,27,-2.8927796498212666,0.9517522748446781
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,30,30000,9,35,27,-2.950919818895575,0.9515653128364869
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,31,31000,9,35,27,-3.0103018064462113,0.951508108496321
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,32,32000,9,35,27,-3.070881253739926,0.9517125021609613
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,33,33000,9,35,27,-3.1323031331196067,0.9523104664393913
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,34,34000,9,35,27,-3.1941289184749078,0.9532827426396453
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,35,35000,9,35,27,-3.256002875844315,0.954370355782304
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,36,36000,9,35,27,-3.3174040620794596,0.9552337768967732
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,37,37000,9,35,27,-3.377105832315669,0.955784513426896
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,38,38000,9,35,27,-3.43304895099849,0.9563523273304918
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,39,39000,9,35,27,-3.483201786113951,0.9574418966899544
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,40,40000,9,35,27,-3.5269697270575735,0.9592480376712081
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,41,41000,9,35,27,-3.5658016547640803,0.9614401797152269
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,42,42000,9,35,27,-3.6023392243921757,0.9634349621608284
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,43,43000,9,35,27,-3.639026692238912,0.9647828871351349
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,44,44000,9,35,27,-3.6771887240105814,0.9653348577052566
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,45,45000,9,35,27,-3.7166325044539477,0.9652640155612078
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,46,46000,9,35,27,-3.7557113765431542,0.9650385101394127
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,47,47000,9,35,27,-3.7922302181551135,0.9652330240067547
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,48,48000,9,35,27,-3.8251787016850645,0.966120385790552
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,49,49000,9,35,27,-3.8560082591769445,0.9673537447764795
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,0,0,9,41,33,-1.0203392414991228,0.9270390465287687
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,1,1000,9,41,33,-1.0729065558537219,0.935222080960552
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,2,2000,9,41,33,-1.1254791658375132,0.9417402481558399
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,3,3000,9,41,33,-1.1780518046696773,0.9469129285014464
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,4,4000,9,41,33,-1.2306181449740463,0.9510047848262595
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,5,5000,9,41,33,-1.283171582549277,0.9542358538780773
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,6,6000,9,41,33,-1.3357068836015962,0.9567878117129027
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,7,7000,9,41,33,-1.388223323835361,0.9588051488712446
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,8,8000,9,41,33,-1.4407300922672588,0.9603908520114472
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,9,9000,9,41,33,-1.493254316860263,0.9615982963352568
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,10,10000,9,41,33,-1.5458504344005402,0.9624246636604308
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,11,11000,9,41,33,-1.5986063938921273,0.9628152065599184
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,12,12000,9,41,33,-1.6516382555070752,0.9626889697965231
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,13,13000,9,41,33,-1.7050633066116692,0.961990866634584
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,14,14000,9,41,33,-1.758947944843374,0.9607598544009115
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,15,15000,9,41,33,-1.8132440259521878,0.959182046740515
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,16,16000,9,41,33,-1.8677523107627894,0.9575833736636592
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,17,17000,9,41,33,-1.9221660786209478,0.9563277468666158
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,18,18000,9,41,33,-1.9762206164380887,0.9556389703863054
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,19,19000,9,41,33,-2.0298848064723987,0.9554487142781147
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,20,20000,9,41,33,-2.0834267425297655,0.9554257529703033
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,21,21000,9,41,33,-2.137208867334839,0.9552501124625686
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,22,22000,9,41,33,-2.1913115388459397,0.9549366810023482
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,23,23000,9,41,33,-2.2453466915561036,0.9548512229805383
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,24,24000,9,41,33,-2.2987537538099083,0.9552894673924178
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,25,25000,9,41,33,-2.351368487163455,0.9559573339913482
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,26,26000,9,41,33,-2.4033849729977037,0.9561181661033271
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,27,27000,9,41,33,-2.454351284263208,0.9556035050261683
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,28,28000,9,41,33,-2.502936298630961,0.9551521744258198
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,29,29000,9,41,33,-2.5485505429444735,0.95532599230049
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,30,30000,9,41,33,-2.5921973333235013,0.955974384014544
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,31,31000,9,41,33,-2.6352992691860777,0.9567196373098634
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,32,32000,9,41,33,-2.6786448397594107,0.9571956108149068
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,33,33000,9,41,33,-2.7220428981130773,0.9574039477332439
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,34,34000,9,41,33,-2.7648288504184304,0.9576415862670824
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,35,35000,9,41,33,-2.806527097508427,0.9582016952202911
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,36,36000,9,41,33,-2.847509932595557,0.9590513080281282
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,37,37000,9,41,33,-2.8882861778056137,0.9598620795188658
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,38,38000,9,41,33,-2.926685930428642,0.9610252444389291
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,39,39000,9,41,33,-2.9593484987049923,0.963269901488695
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,40,40000,9,41,33,-2.987436850687455,0.9657716810437502
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,41,41000,9,41,33,-3.015614544717808,0.9671792218559983
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,42,42000,9,41,33,-3.0478889178707123,0.967045919686855
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,43,43000,9,41,33,-3.0845679235267975,0.96585541120402
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,44,44000,9,41,33,-3.120978202615806,0.9644167081678068
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,45,45000,9,41,33,-3.1511053185325917,0.9632287430015483
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,46,46000,9,41,33,-3.1736461240892884,0.9627100213542737
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,47,47000,9,41,33,-3.194986522029193,0.9626129105662946
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,48,48000,9,41,33,-3.2216183136520264,0.9621097261464326
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,49,49000,9,41,33,-3.2516743661495475,0.9607418820523015
