run,start_index,end_index,window_label,window_length,start_step,end_step,fit_kmin,fit_kmax,fit_label,fit_range_width,fit_points,slope,distance_from_minus3,r_squared,compensated_mean,compensated_std,compensated_cv,cv_points,per_snapshot_slope_mean,per_snapshot_slope_std,per_snapshot_r2_mean,per_snapshot_cv_mean,per_snapshot_cv_std,residual_energy_start,residual_energy_end,residual_energy_change_pct,robustness_class
nu_5e-05_f_0.01_m_2,40,45,40:45,6,40000,45000,8,40,k=8:40,32,33,-2.898914255997699,0.10108574400230097,0.9629458719646974,44.38499004724765,11.296442107833217,0.25451041209670655,33,-2.9022699496017865,0.06078097172736786,0.9611603830472232,0.26266713147446813,0.010580484356092755,1.2399658767302745e-12,1.183180587574738e-12,-4.579584827388664,moderately_near_-3
nu_5e-05_f_0.01_m_2,40,45,40:45,6,40000,45000,9,41,k=9:41,32,33,-3.0645867753605214,0.06458677536052138,0.967315052072104,44.5537524224658,10.97235227309944,0.24627223693882938,33,-3.067931959658528,0.05719377123801167,0.9655829474933296,0.25459724660211674,0.014626386190330052,1.2399658767302745e-12,1.183180587574738e-12,-4.579584827388664,near_-3
nu_5e-05_f_0.01_m_2,40,45,40:45,6,40000,45000,10,42,k=10:42,32,33,-3.1536030180304326,0.15360301803043264,0.963472991345875,44.21219402289393,11.377638611003484,0.25734164210696986,33,-3.1566354680655504,0.05729176389781901,0.9616149918120578,0.26551128613490854,0.013630081578610807,1.2399658767302745e-12,1.183180587574738e-12,-4.579584827388664,moderately_near_-3
nu_5e-05_f_0.01_m_2,40,45,40:45,6,40000,45000,9,35,k=9:35,26,27,-2.819796480698316,0.180203519301684,0.9677679165512902,47.23339216517603,10.201237349628112,0.21597511595089763,27,-2.8223049615777343,0.05042061172950408,0.9655087255415561,0.22447238643523718,0.008674918516720085,1.2399658767302745e-12,1.183180587574738e-12,-4.579584827388664,moderately_near_-3
nu_5e-05_f_0.01_m_2,40,45,40:45,6,40000,45000,12,40,k=12:40,28,29,-3.2212107197750934,0.22121071977509343,0.966383723027286,46.28498492978309,10.47515275815519,0.226318594983807,29,-3.2251515752424633,0.05855201087088161,0.9638292891478096,0.23532565250769522,0.02015771723062355,1.2399658767302745e-12,1.183180587574738e-12,-4.579584827388664,moderately_near_-3
nu_5e-05_f_0.01_m_2,36,43,36:43,8,36000,43000,8,40,k=8:40,32,33,-2.7970284591494967,0.20297154085050328,0.9604853653616064,47.998530323937764,11.82765146721124,0.24641695042301262,33,-2.800599785381213,0.07768497913268828,0.9580695087962734,0.25727731988128694,0.0058346939134258985,1.2855561169490683e-12,1.2059075312746157e-12,-6.1956521869677434,moderately_near_-3
nu_5e-05_f_0.01_m_2,36,43,36:43,8,36000,43000,9,41,k=9:41,32,33,-2.966318896668892,0.033681103331108186,0.9660254985192778,48.31581017236146,11.178026900574766,0.23135339882945885,33,-2.969667347042197,0.07520544051889598,0.9636325959081551,0.24291038894818057,0.007300094144418838,1.2855561169490683e-12,1.2059075312746157e-12,-6.1956521869677434,near_-3
nu_5e-05_f_0.01_m_2,36,43,36:43,8,36000,43000,10,42,k=10:42,32,33,-3.055431563909089,0.05543156390908921,0.961149524556147,48.04168036407498,11.550639774056807,0.24042955380666167,33,-3.058405733970194,0.07315801497369934,0.9586365308316092,0.2517329071502853,0.007654090819686718,1.2855561169490683e-12,1.2059075312746157e-12,-6.1956521869677434,near_-3
nu_5e-05_f_0.01_m_2,36,43,36:43,8,36000,43000,9,35,k=9:35,26,27,-2.7077631729321694,0.2922368270678306,0.9699542375333342,50.902237006654836,10.49911676275393,0.20626041958394287,27,-2.712226757033431,0.09301646943159675,0.9664049912972781,0.21903792816170553,0.0060498288763630855,1.2855561169490683e-12,1.2059075312746157e-12,-6.1956521869677434,sensitive
nu_5e-05_f_0.01_m_2,36,43,36:43,8,36000,43000,12,40,k=12:40,28,29,-3.1308695138988827,0.13086951389888268,0.9677470911647207,50.4294776246304,10.119163723247212,0.2006596974604568,29,-3.1347755160458597,0.06718894453339408,0.964513579307259,0.21383516638472147,0.014162244523641286,1.2855561169490683e-12,1.2059075312746157e-12,-6.1956521869677434,moderately_near_-3
nu_5e-05_f_0.01_m_2,37,44,37:44,8,37000,44000,8,40,k=8:40,32,33,-2.8318590205766707,0.16814097942332928,0.9615537603142811,46.762807846576024,11.546179653606863,0.2469094604303637,33,-2.835772151442759,0.07700639768318147,0.959031850734309,0.25863661370982216,0.007795999419125856,1.2741224778703717e-12,1.1945511296053127e-12,-6.2451883274250255,moderately_near_-3
nu_5e-05_f_0.01_m_2,37,44,37:44,8,37000,44000,9,41,k=9:41,32,33,-3.0000745610138018,7.456101380176605e-05,0.9667877094917965,47.03145846172066,11.002788785641084,0.23394530268705901,33,-3.0038508807947286,0.07405343977559031,0.964303270925615,0.24626909761385743,0.011310426381836824,1.2741224778703717e-12,1.1945511296053127e-12,-6.2451883274250255,near_-3
nu_5e-05_f_0.01_m_2,37,44,37:44,8,37000,44000,10,42,k=10:42,32,33,-3.088581184301815,0.08858118430181516,0.9622594801064488,46.72992545746827,11.396159603274407,0.24387283933604262,33,-3.0917638037099757,0.07166639871900106,0.9596235577096013,0.25589710640438446,0.010979552339740527,1.2741224778703717e-12,1.1945511296053127e-12,-6.2451883274250255,near_-3
nu_5e-05_f_0.01_m_2,37,44,37:44,8,37000,44000,9,35,k=9:35,26,27,-2.746255803920215,0.25374419607978504,0.969894796592916,49.644002166772005,10.250355712355645,0.20647722312800296,27,-2.7506332032296097,0.08510179040592018,0.9662445056869255,0.21995672633657945,0.007399878394622688,1.2741224778703717e-12,1.1945511296053127e-12,-6.2451883274250255,sensitive
nu_5e-05_f_0.01_m_2,37,44,37:44,8,37000,44000,12,40,k=12:40,28,29,-3.1623383630091064,0.16233836300910642,0.9676472336214469,49.01006413624039,10.13989247731884,0.20689408708243084,29,-3.166714384736313,0.06711886688885813,0.964247037111667,0.2206103706464546,0.018485523945760262,1.2741224778703717e-12,1.1945511296053127e-12,-6.2451883274250255,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,45,38:45,8,38000,45000,8,40,k=8:40,32,33,-2.8652556105574067,0.13474438944259326,0.9624774262419596,45.573532389527905,11.32587869610365,0.24851878057857466,33,-2.8697571057495557,0.07747911397973872,0.9598724509845515,0.2606810880361031,0.009866754441649927,1.2627171300096857e-12,1.183180587574738e-12,-6.298840852371872,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,45,38:45,8,38000,45000,9,41,k=9:41,32,33,-3.0322380709053114,0.03223807090531139,0.9672671782188386,45.791396194916864,10.892505586767696,0.23787231864261943,33,-3.0367032733856,0.07379509367646836,0.9647241038609502,0.2504862343268147,0.014548818613990246,1.2627171300096857e-12,1.183180587574738e-12,-6.298840852371872,near_-3
nu_5e-05_f_0.01_m_2,38,45,38:45,8,38000,45000,10,42,k=10:42,32,33,-3.1217157044806623,0.12171570448066227,0.9630403368984198,45.46610790578114,11.303080311132078,0.2486045283347172,33,-3.1256120174103614,0.07364034305470091,0.9603586455508173,0.2609156195271939,0.014237143529366147,1.2627171300096857e-12,1.183180587574738e-12,-6.298840852371872,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,45,38:45,8,38000,45000,9,35,k=9:35,26,27,-2.782211993292015,0.21778800670798493,0.9694768904704428,48.43508355017878,10.088513340946822,0.20828937624305147,27,-2.786498728740158,0.07677355852331086,0.9659006418831806,0.22175983209389982,0.008903487248330703,1.2627171300096857e-12,1.183180587574738e-12,-6.298840852371872,moderately_near_-3
nu_5e-05_f_0.01_m_2,38,45,38:45,8,38000,45000,12,40,k=12:40,28,29,-3.1923346592751933,0.19233465927519333,0.9673984949764725,47.64789475151542,10.20047041033814,0.21408019102488715,29,-3.1974987094848175,0.07002284512169886,0.9638150878343761,0.22788788412022035,0.02169628890098715,1.2627171300096857e-12,1.183180587574738e-12,-6.298840852371872,moderately_near_-3
