run,output_dir,saved_index,step,peak_k,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,masked_slope,masked_r_squared
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,8,8000,3.0,2.0,4.0,9,35,27,1.8455472781919793e-12,-1.6196012860817657,0.923309291184389
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,9,9000,3.0,2.0,4.0,9,35,27,1.8169779776939134e-12,-1.6823790175425675,0.9285048752329426
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,10,10000,3.0,2.0,4.0,9,35,27,1.7911740787473982e-12,-1.745117677018198,0.9330375288193262
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,11,11000,3.0,2.0,4.0,9,35,27,1.767607435861263e-12,-1.8077926953671715,0.9370156975370489
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,12,12000,3.0,2.0,4.0,9,35,27,1.7458791924692023e-12,-1.870375096677586,0.9405264990317024
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,13,13000,3.0,2.0,4.0,9,35,27,1.7256817048895399e-12,-1.9328349969504843,0.9436345487330084
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,14,14000,3.0,2.0,4.0,9,35,27,1.7067730633711843e-12,-1.995146882349673,0.9463800330318782
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,15,15000,3.0,2.0,4.0,9,35,27,1.6889596679071923e-12,-2.057295306913894,0.9487775646568728
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,16,16000,3.0,2.0,4.0,9,35,27,1.672084067935906e-12,-2.1192783439287,0.9508179973725096
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,17,17000,3.0,2.0,4.0,9,35,27,1.6560163134563724e-12,-2.1811054277417683,0.9524752307483856
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,18,18000,3.0,2.0,4.0,9,35,27,1.640647694424563e-12,-2.242787076115431,0.953718617512352
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,19,19000,3.0,2.0,4.0,9,35,27,1.6258861346865275e-12,-2.3043168233228633,0.9545291332454642
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,20,20000,3.0,2.0,4.0,9,35,27,1.6116527523224244e-12,-2.3656498142595157,0.9549151473348146
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,21,21000,3.0,2.0,4.0,9,35,27,1.5978792560914251e-12,-2.426686261163487,0.9549227578464982
