row_type,run,saved_index,step,window_start_index,window_end_index,fit_kmin,fit_kmax,removed_k,fit_points,baseline_slope,loo_slope,slope_change,abs_slope_change,baseline_r_squared,loo_r_squared,r_squared_change,abs_r_squared_change,loo_rmse_log10,within_near_minus3_band,loo_slope_mean,loo_slope_median,loo_slope_std,loo_slope_min,loo_slope_max,max_abs_slope_change,mean_abs_slope_change,median_abs_slope_change,most_influential_k_by_slope,most_influential_slope_after_removal,most_influential_slope_change,loo_r_squared_mean,loo_r_squared_min,loo_r_squared_max,max_abs_r_squared_change,most_influential_k_by_r2,most_influential_r2_after_removal,most_influential_r2_change,n_leave_one_out_fits,n_within_near_minus3_band,n_snapshots_all_within_near_minus3_band
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,35,32,-3.0004034112696227,-2.9951569188770657,0.005246492392557034,0.005246492392557034,0.9668214210155479,0.9658132557844225,-0.0010081652311254574,0.0010081652311254574,0.10535791527133044,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,36,32,-3.0004034112696227,-2.995454671622542,0.004948739647080647,0.004948739647080647,0.9668214210155479,0.9656571974343415,-0.0011642235812063806,0.0011642235812063806,0.10539175150740986,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,37,32,-3.0004034112696227,-2.9820663956875033,0.01833701558211942,0.01833701558211942,0.9668214210155479,0.9660541439423191,-0.000767277073228767,0.000767277073228767,0.10405986749332781,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,38,32,-3.0004034112696227,-2.9888645321500045,0.011538879119618262,0.011538879119618262,0.9668214210155479,0.9654579524973421,-0.0013634685182057904,0.0013634685182057904,0.10499996062370211,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,39,32,-3.0004034112696227,-2.973677790214805,0.026725621054817683,0.026725621054817683,0.9668214210155479,0.9662201047177306,-0.0006013162978173447,0.0006013162978173447,0.1030224171387933,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,40,32,-3.0004034112696227,-2.959504889387204,0.04089852188241894,0.04089852188241894,0.9668214210155479,0.9675648375844517,0.0007434165689037542,0.0007434165689037542,0.10015580092046981,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,41,32,-3.0004034112696227,-2.951651021609252,0.04875238966037054,0.04875238966037054,0.9668214210155479,0.9682702441434906,0.0014488231279427,0.0014488231279427,0.09851551986969577,True,,,,,,,,,,,,,,,,,,,,,
window_leave_one_out_summary,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,summary,32,-3.0004034112696227,,,,0.9668214210155479,,,,,True,-3.0007757846620535,-2.999730281609391,0.022263449186400216,-3.07782938844645,-2.951651021609252,0.07742597717682731,0.013334750695294544,0.0058317267423757535,10,-3.07782938844645,-0.07742597717682731,0.966852864241581,0.9630711497210559,0.9705548594814951,0.0037502712944920136,9,0.9630711497210559,-0.0037502712944920136,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,38,38000,38,43,9,41,summary,32,-2.926685930428642,,,,0.9610252444389291,,,,,True,-2.9270639615282743,-2.926776314600651,0.024688236294763653,-3.0219926478077945,-2.8710466350980846,0.09530671737915242,0.013811964614677095,0.006073918677204304,10,-3.0219926478077945,-0.09530671737915242,0.9610700640484915,0.9564922805396548,0.9666170175883462,0.005591773149417056,10,0.9666170175883462,0.005591773149417056,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,39,39000,38,43,9,41,summary,32,-2.9593484987049923,,,,0.963269901488695,,,,,True,-2.959721436215758,-2.959075399114202,0.023865479898877204,-3.048190249539727,-2.905965287510784,0.08884175083473478,0.0134879739194737,0.005053150130839512,10,-3.048190249539727,-0.08884175083473478,0.9633107513092621,0.9589217167686961,0.9676741278791298,0.004404226390434807,10,0.9676741278791298,0.004404226390434807,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,40,40000,38,43,9,41,summary,32,-2.987436850687455,,,,0.9657716810437502,,,,,True,-2.98780562947219,-2.9861703111438813,0.02269206613384882,-3.068402735138667,-2.9361699337966356,0.08096588445121222,0.013230956024683695,0.005244559536695448,10,-3.068402735138667,-0.08096588445121222,0.9658055513478896,0.9617113423840142,0.9699485795531151,0.004176898509364868,23,0.9699485795531151,0.004176898509364868,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,41,41000,38,43,9,41,summary,32,-3.015614544717808,,,,0.9671792218559983,,,,,True,-3.0159822382461337,-3.0148679059340746,0.02164884112652806,-3.0885951261989137,-2.9656490672818014,0.07298058148110576,0.013135358748115158,0.006156904559999177,10,-3.0885951261989137,-0.07298058148110576,0.9672060217738853,0.9633496270580637,0.9714022263067527,0.0042230044507544084,23,0.9714022263067527,0.0042230044507544084,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,42,42000,38,43,9,41,summary,32,-3.0478889178707123,,,,0.967045919686855,,,,,True,-3.0482599211990284,-3.0469982826082767,0.02110437710641689,-3.1139538982740205,-3.0011417207411513,0.06606498040330822,0.013526570126174595,0.006670435654489992,10,-3.1139538982740205,-0.06606498040330822,0.9670668848888261,0.9633554891440472,0.9709047117931685,0.003858792106313458,23,0.9709047117931685,0.003858792106313458,33,33,
snapshot_leave_one_out_summary,nu_5e-05_f_0.01_m_2,43,43000,38,43,9,41,summary,32,-3.0845679235267975,,,,0.96585541120402,,,,,True,-3.0849463623376474,-3.084661304590637,0.02132173999032409,-3.1455351874199846,-3.038113924950601,0.060967263893187074,0.014120601275489222,0.007840564093154256,10,-3.1455351874199846,-0.060967263893187074,0.9658745272425147,0.9622967425241832,0.9701237126160243,0.004268301412004294,21,0.9701237126160243,0.004268301412004294,33,33,
snapshot_leave_one_out_aggregate_summary,nu_5e-05_f_0.01_m_2,38:43,38000:43000,38,43,9,41,summary,,,,,,,,,,,True,,,0.022553456758459784,,,0.09530671737915242,0.013552237451435578,,,,,,,,,,,,198,,6
