run,output_dir,saved_index,step,masked_kmin,masked_kmax,fit_kmin,fit_kmax,fit_points,residual_energy,compensated_mean,compensated_std,compensated_cv,plateau_width
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,38,38000,2,4,9,35,27,1.3944273809095082e-12,32.541187891706045,9.654978889426346,0.2967002594237552,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,39,39000,2,4,9,35,27,1.38281359705854e-12,31.678891772830283,9.500773158701184,0.2999086340150831,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,40,40000,2,4,9,35,27,1.3711430640606446e-12,30.867448657055093,9.369113271635712,0.3035272975012886,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,41,41000,2,4,9,35,27,1.3594090833298e-12,30.09742425714173,9.27608270353642,0.30820187881477357,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,42,42000,2,4,9,35,27,1.3476065813251991e-12,29.359845199100082,9.227125768673318,0.3142770578693699,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,43,43000,2,4,9,35,27,1.3357321062890243e-12,28.648271463144926,9.222104099353096,0.32190787186644176,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,44,44000,2,4,9,35,27,1.3237838169925153e-12,27.95990140376018,9.261414095872608,0.33123915432073336,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,45,45000,2,4,9,35,27,1.3117614608597902e-12,27.295359386163952,9.340831101530801,0.3422131568000412,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,46,46000,2,4,9,35,27,1.299666339258419e-12,26.657320989995945,9.440005695262354,0.3541243210000372,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,47,47000,2,4,9,35,27,1.2875012581636699e-12,26.04853044823515,9.523176853409984,0.3655936319453753,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,48,48000,2,4,9,35,27,1.275270463037089e-12,25.46995200559851,9.55803807526616,0.3752672197091389,26.0
nu_7.5e-05_f_0.006_m_2,outputs_spectra_refined/nu_7.5e-05_f_0.006_m_2,49,49000,2,4,9,35,27,1.2629795574042807e-12,24.919782650683743,9.53566672779849,0.38265449026847165,26.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,0,0,2,4,9,41,33,2.161156290196979e-12,155.40757026674007,108.7754302347421,0.6999364963240915,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,1,1000,2,4,9,41,33,2.0632562614788965e-12,154.4795461594508,104.90030151399013,0.6790562512768783,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,2,2000,2,4,9,41,33,1.984760115233337e-12,152.4751689692715,100.3773068312528,0.6583190398135054,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,3,3000,2,4,9,41,33,1.9204477855357565e-12,149.69422620625008,95.46513241260918,0.6377342321879298,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,4,4000,2,4,9,41,33,1.866698779823262e-12,146.36938315467367,90.35497542374227,0.6173078923770622,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,5,5000,2,4,9,41,33,1.820956937335128e-12,142.67760567084562,85.18394374159558,0.5970379397739071,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,6,6000,2,4,9,41,33,1.7813861655984828e-12,138.7515921459849,80.04712668744014,0.5769096083828722,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,7,7000,2,4,9,41,33,1.7466455052155556e-12,134.6897223978656,75.00790698339755,0.5568940647292193,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,8,8000,2,4,9,41,33,1.7157398651024635e-12,130.5641996361387,70.10707187994517,0.5369547860387628,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,9,9000,2,4,9,41,33,1.6879194584688173e-12,126.4275602400189,65.3715039061802,0.5170668783141458,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,10,10000,2,4,9,41,33,1.6626110449976605e-12,122.3178752216943,60.822728618472176,0.4972513502890268,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,11,11000,2,4,9,41,33,1.6393702466669398e-12,118.26294240620392,56.48435440644329,0.47761668412099473,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,12,12000,2,4,9,41,33,1.6178480233149754e-12,114.28366082416021,52.385816867480415,0.4583841337396654,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,13,13000,2,4,9,41,33,1.5977667922373237e-12,110.39664439522008,48.55904367243929,0.43985977960161426,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,14,14000,2,4,9,41,33,1.5789032023737243e-12,106.6160201435792,45.02670433873124,0.4223258782131806,32.0
nu_5e-05_f_0.01_m_2,outputs_spectra_refined/nu_5e-05_f_0.01_m_2,15,15000,2,4,9,41,33,1.5610755578662092e-12,102.9543177386677,41.786850576006906,0.405877592060547,32.0
